sentence	label
it 's a charming and often affecting journey . 	1
unflinchingly bleak and desperate 	0
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	1
the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	1
it 's slow -- very , very slow . 	0
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 	1
a sometimes tedious film . 	0
or doing last year 's taxes with your ex-wife . 	0
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	1
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . 	0
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	1
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 	0
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 	0
we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 	1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 	0
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . 	1
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 	1
audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	1
... the movie is just a plain old monster . 	0
in its best moments , resembles a bad high school production of grease , without benefit of song . 	0
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	0
the iditarod lasts for days - this just felt like it did . 	0
holden caulfield did it better . 	0
a delectable and intriguing thriller filled with surprises , read my lips is an original . 	1
seldom has a movie so closely matched the spirit of a man and his work . 	1
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	0
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 	0
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	1
it 's a cookie-cutter movie , a cut-and-paste job . 	0
i had to look away - this was god awful . 	0
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 	1
... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 	0
